iter	Passed	Remaining
861	1736	277
862	1737	275
863	1738	273
864	1739	271
865	1741	269
866	1743	267
867	1745	265
868	1746	263
869	1747	261
870	1748	259
871	1750	257
872	1752	254
873	1753	252
874	1758	251
875	1761	249
876	1763	247
877	1764	245
878	1766	243
879	1767	240
880	1768	238
881	1771	237
882	1773	235
883	1775	232
884	1776	230
885	1777	228
886	1779	226
887	1780	224
888	1782	222
889	1783	220
890	1787	218
891	1789	216
892	1790	214
893	1791	212
894	1792	210
895	1794	208
896	1795	206
897	1797	204
898	1798	202
899	1800	200
900	1803	198
901	1805	196
902	1806	194
903	1808	192
904	1809	189
905	1810	187
906	1811	185
907	1812	183
908	1815	181
909	1817	179
910	1818	177
911	1820	175
912	1821	173
913	1822	171
914	1823	169
915	1825	167
916	1826	165
917	1827	163
918	1833	161
919	1835	159
920	1836	157
921	1837	155
922	1839	153
923	1840	151
924	1841	149
925	1843	147
926	1845	145
927	1847	143
928	1849	141
929	1850	139
930	1853	137
931	1855	135
932	1856	133
933	1857	131
934	1859	129
935	1861	127
936	1863	125
937	1865	123
938	1866	121
939	1868	119
940	1869	117
941	1870	115
942	1872	113
943	1873	111
944	1875	109
945	1877	107
946	1878	105
947	1879	103
948	1880	101
949	1881	99
950	1883	97
951	1884	94
952	1885	92
953	1886	90
954	1887	88
955	1889	86
956	1891	84
957	1893	82
958	1894	80
959	1895	78
960	1897	76
961	1898	75
962	1900	73
963	1901	71
964	1902	69
965	1905	67
966	1907	65
967	1909	63
968	1910	61
969	1911	59
970	1913	57
971	1915	55
972	1916	53
973	1918	51
974	1921	49
975	1923	47
976	1924	45
977	1925	43
978	1926	41
979	1927	39
980	1929	37
981	1930	35
982	1931	33
983	1932	31
984	1935	29
985	1937	27
986	1938	25
987	1939	23
988	1940	21
989	1942	19
990	1943	17
991	1945	15
992	1946	13
993	1947	11
994	1948	9
995	1950	7
996	1952	5
997	1953	3
998	1954	1
999	1955	0
